response_id,age_group,customer_stage,channel,cluster,cluster_group,complaint,severity,existing_insurance,consultation_needed
47,30대,가입 검토,전화,상담 질문 준비,상담,상담 전에 무엇을 물어봐야 할지 모르겠다.,2,없음,예
48,20대,정보 탐색,오프라인,상품 보장 비교,상품 비교,상품별 보장 항목과 지급 조건을 나란히 보고 싶다.,4,있음,아니오
49,20대,가입 검토,모바일,상담 정보 전달,상담,상담할 때 내가 궁금한 내용을 정리해서 전달하기 어렵다.,2,없음,아니오
50,40대,상담,웹,상품 보장 비교,상품 비교,어떤 상품의 보장 범위가 더 넓은지 모르겠다.,3,있음,예
51,40대,정보 탐색,웹,보장 범위 이해,정보 이해,보장 내용을 사례 중심의 쉬운 설명으로 보고 싶다.,5,없음,아니오
52,50대 이상,가입 검토,웹,보험료 비교,상품 비교,내 예산에 맞는 상품인지 보험료를 비교하기 어렵다.,3,있음,아니오
53,30대,가입 검토,웹,갱신 조건,주의사항,갱신 시 보험료가 얼마나 오를 수 있는지 명확히 알고 싶다.,4,있음,예
54,20대,정보 탐색,모바일,보장 제외 조건,주의사항,보장되지 않는 조건이 설명서 뒤쪽에 있어 찾기 어렵다.,4,있음,아니오
55,40대,상담,전화,보험료 비교,상품 비교,내 예산에 맞는 상품인지 보험료를 비교하기 어렵다.,3,없음,아니오
56,40대,가입 검토,모바일,보험료 비교,상품 비교,보험료만 봐서는 가격 차이가 왜 나는지 모르겠다.,5,있음,예
57,20대,정보 탐색,모바일,상담 질문 준비,상담,내 상황에 맞는 상담 질문을 미리 준비하고 싶다.,4,없음,아니오
58,30대,상품 비교,웹,보험료 비교,상품 비교,월 납입액과 보장 수준을 함께 비교할 수 있으면 좋겠다.,4,있음,예
59,40대,정보 탐색,전화,보장 범위 이해,정보 이해,이 상품이 어떤 상황을 보장하는지 한눈에 이해하기 어렵다.,3,있음,예
60,50대 이상,정보 탐색,모바일,보장 제외 조건,주의사항,기존 질환이 있으면 어떤 보장이 제외되는지 불안하다.,5,있음,아니오
61,40대,상담,전화,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,4,없음,아니오
62,40대,가입 검토,전화,보험료 비교,상품 비교,내 예산에 맞는 상품인지 보험료를 비교하기 어렵다.,4,없음,아니오
63,40대,상품 비교,모바일,보험료 비교,상품 비교,월 납입액과 보장 수준을 함께 비교할 수 있으면 좋겠다.,5,없음,예
64,30대,상품 비교,웹,보장 범위 이해,정보 이해,이 상품이 어떤 상황을 보장하는지 한눈에 이해하기 어렵다.,4,있음,아니오
65,30대,상품 비교,전화,보장 제외 조건,주의사항,기존 질환이 있으면 어떤 보장이 제외되는지 불안하다.,5,없음,아니오
66,50대 이상,가입 검토,웹,보험료 비교,상품 비교,월 납입액과 보장 수준을 함께 비교할 수 있으면 좋겠다.,5,없음,아니오
67,30대,정보 탐색,모바일,보장 범위 이해,정보 이해,보장 내용을 사례 중심의 쉬운 설명으로 보고 싶다.,5,있음,예
68,50대 이상,정보 탐색,전화,상담 질문 준비,상담,상품을 고르기 전에 확인할 질문 목록이 필요하다.,4,없음,예
69,20대,상담,모바일,보장 제외 조건,주의사항,기존 질환이 있으면 어떤 보장이 제외되는지 불안하다.,4,있음,예
70,30대,상담,모바일,보험료 비교,상품 비교,월 납입액과 보장 수준을 함께 비교할 수 있으면 좋겠다.,4,없음,아니오
71,30대,가입 검토,모바일,전문용어 이해,정보 이해,보험 용어가 너무 어려워서 무슨 뜻인지 모르겠다.,5,없음,예
72,20대,정보 탐색,웹,상담 정보 전달,상담,상담사에게 내 보험 상황을 매번 처음부터 설명해야 한다.,2,있음,예
73,20대,가입 검토,전화,보장 제외 조건,주의사항,보장되지 않는 조건이 설명서 뒤쪽에 있어 찾기 어렵다.,5,없음,예
74,20대,정보 탐색,오프라인,상담 정보 전달,상담,상담 전에 기본 정보를 정리해 상담 시간을 줄이고 싶다.,4,있음,아니오
75,20대,상품 비교,모바일,상담 정보 전달,상담,상담할 때 내가 궁금한 내용을 정리해서 전달하기 어렵다.,4,없음,예
76,30대,가입 검토,모바일,상품 보장 비교,상품 비교,어떤 상품의 보장 범위가 더 넓은지 모르겠다.,4,없음,아니오
77,20대,가입 검토,웹,상담 질문 준비,상담,내 상황에 맞는 상담 질문을 미리 준비하고 싶다.,4,없음,아니오
78,30대,가입 검토,웹,보장 범위 이해,정보 이해,보장 내용을 사례 중심의 쉬운 설명으로 보고 싶다.,4,있음,아니오
79,30대,가입 검토,전화,상담 질문 준비,상담,상담 전에 무엇을 물어봐야 할지 모르겠다.,3,있음,예
80,30대,상담,모바일,갱신 조건,주의사항,갱신형 상품의 장기 비용을 예측하기 어렵다.,4,없음,아니오
81,40대,가입 검토,모바일,보장 범위 이해,정보 이해,보장 내용을 사례 중심의 쉬운 설명으로 보고 싶다.,5,있음,예
82,20대,상품 비교,웹,보험료 비교,상품 비교,월 납입액과 보장 수준을 함께 비교할 수 있으면 좋겠다.,5,없음,아니오
83,30대,정보 탐색,모바일,보장 제외 조건,주의사항,보장되지 않는 조건이 설명서 뒤쪽에 있어 찾기 어렵다.,4,없음,아니오
84,30대,가입 검토,모바일,갱신 조건,주의사항,갱신 주기와 보험료 변동 조건을 찾기 어렵다.,5,있음,아니오
85,20대,가입 검토,모바일,갱신 조건,주의사항,갱신 주기와 보험료 변동 조건을 찾기 어렵다.,3,있음,예
86,50대 이상,상품 비교,모바일,갱신 조건,주의사항,갱신 주기와 보험료 변동 조건을 찾기 어렵다.,4,있음,아니오
87,40대,가입 검토,모바일,상담 정보 전달,상담,상담사에게 내 보험 상황을 매번 처음부터 설명해야 한다.,3,없음,예
88,50대 이상,가입 검토,웹,보장 범위 이해,정보 이해,이 상품이 어떤 상황을 보장하는지 한눈에 이해하기 어렵다.,5,있음,예
89,30대,상담,모바일,상담 질문 준비,상담,내 상황에 맞는 상담 질문을 미리 준비하고 싶다.,2,없음,아니오
90,30대,정보 탐색,모바일,상담 정보 전달,상담,상담사에게 내 보험 상황을 매번 처음부터 설명해야 한다.,4,없음,예
91,30대,가입 검토,모바일,보장 범위 이해,정보 이해,이 상품이 어떤 상황을 보장하는지 한눈에 이해하기 어렵다.,3,있음,예
92,30대,상담,모바일,상담 질문 준비,상담,상품을 고르기 전에 확인할 질문 목록이 필요하다.,3,있음,예
93,40대,상품 비교,웹,보장 제외 조건,주의사항,기존 질환이 있으면 어떤 보장이 제외되는지 불안하다.,5,없음,예
94,30대,상품 비교,모바일,보장 범위 이해,정보 이해,암 진단을 받으면 실제로 얼마를 받는지 모르겠다.,5,있음,아니오
95,20대,가입 검토,웹,전문용어 이해,정보 이해,갱신형과 비갱신형 같은 전문용어를 쉽게 설명해 줬으면 좋겠다.,3,없음,아니오
96,30대,상품 비교,모바일,상담 질문 준비,상담,상품을 고르기 전에 확인할 질문 목록이 필요하다.,2,없음,아니오
97,20대,상품 비교,전화,상담 질문 준비,상담,상품을 고르기 전에 확인할 질문 목록이 필요하다.,4,있음,아니오
98,40대,상담,오프라인,전문용어 이해,정보 이해,약관의 전문 표현을 일상적인 말로 바꿔서 보고 싶다.,5,있음,아니오
99,20대,상담,웹,전문용어 이해,정보 이해,약관의 전문 표현을 일상적인 말로 바꿔서 보고 싶다.,4,없음,예
100,40대,정보 탐색,오프라인,보장 범위 이해,정보 이해,보장 내용을 사례 중심의 쉬운 설명으로 보고 싶다.,4,없음,예
101,40대,가입 검토,모바일,보험료 비교,상품 비교,내 예산에 맞는 상품인지 보험료를 비교하기 어렵다.,4,있음,예
102,30대,가입 검토,웹,보험료 비교,상품 비교,보험료만 봐서는 가격 차이가 왜 나는지 모르겠다.,4,있음,아니오
103,50대 이상,정보 탐색,모바일,상품 보장 비교,상품 비교,상품별 보장 항목과 지급 조건을 나란히 보고 싶다.,4,있음,예
104,30대,정보 탐색,웹,상담 정보 전달,상담,상담 전에 기본 정보를 정리해 상담 시간을 줄이고 싶다.,3,있음,예
105,30대,상담,웹,보장 범위 이해,정보 이해,이 상품이 어떤 상황을 보장하는지 한눈에 이해하기 어렵다.,3,있음,예
106,30대,상담,모바일,상담 정보 전달,상담,상담 전에 기본 정보를 정리해 상담 시간을 줄이고 싶다.,4,없음,예
107,20대,상담,모바일,상품 보장 비교,상품 비교,상품 A와 상품 B의 보장 차이를 같은 기준으로 비교하기 어렵다.,4,없음,예
108,40대,가입 검토,모바일,보험료 비교,상품 비교,월 납입액과 보장 수준을 함께 비교할 수 있으면 좋겠다.,4,없음,아니오
109,30대,상품 비교,전화,보장 제외 조건,주의사항,기존 질환이 있으면 어떤 보장이 제외되는지 불안하다.,4,있음,아니오
110,20대,가입 검토,전화,상담 질문 준비,상담,상품을 고르기 전에 확인할 질문 목록이 필요하다.,4,있음,예
111,30대,가입 검토,웹,보험료 비교,상품 비교,내 예산에 맞는 상품인지 보험료를 비교하기 어렵다.,4,있음,아니오
112,50대 이상,상품 비교,웹,상담 질문 준비,상담,상담 전에 무엇을 물어봐야 할지 모르겠다.,3,없음,아니오
113,40대,상담,모바일,갱신 조건,주의사항,갱신 주기와 보험료 변동 조건을 찾기 어렵다.,5,없음,아니오
114,20대,가입 검토,전화,상담 정보 전달,상담,상담할 때 내가 궁금한 내용을 정리해서 전달하기 어렵다.,2,있음,예
115,30대,상품 비교,모바일,갱신 조건,주의사항,갱신형 상품의 장기 비용을 예측하기 어렵다.,4,있음,예
116,40대,상담,오프라인,상담 질문 준비,상담,상품을 고르기 전에 확인할 질문 목록이 필요하다.,4,있음,예
117,20대,가입 검토,오프라인,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,3,있음,예
118,40대,정보 탐색,모바일,상담 질문 준비,상담,상품을 고르기 전에 확인할 질문 목록이 필요하다.,3,없음,예
119,20대,가입 검토,모바일,상품 보장 비교,상품 비교,상품 A와 상품 B의 보장 차이를 같은 기준으로 비교하기 어렵다.,3,있음,예
120,20대,상담,웹,보장 범위 이해,정보 이해,이 상품이 어떤 상황을 보장하는지 한눈에 이해하기 어렵다.,4,없음,예
121,20대,가입 검토,웹,보험료 비교,상품 비교,월 납입액과 보장 수준을 함께 비교할 수 있으면 좋겠다.,4,없음,예
122,30대,가입 검토,웹,보험료 비교,상품 비교,월 납입액과 보장 수준을 함께 비교할 수 있으면 좋겠다.,5,있음,아니오
123,20대,상담,전화,상담 질문 준비,상담,상담 전에 무엇을 물어봐야 할지 모르겠다.,2,있음,아니오
124,50대 이상,가입 검토,모바일,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,4,있음,예
125,40대,정보 탐색,전화,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,4,있음,예
126,30대,상품 비교,웹,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,5,없음,예
127,40대,가입 검토,전화,상담 정보 전달,상담,상담사에게 내 보험 상황을 매번 처음부터 설명해야 한다.,4,있음,예
128,20대,상담,모바일,전문용어 이해,정보 이해,보험 용어가 너무 어려워서 무슨 뜻인지 모르겠다.,5,있음,아니오
129,20대,상담,오프라인,상담 질문 준비,상담,내 상황에 맞는 상담 질문을 미리 준비하고 싶다.,4,있음,예
130,20대,상품 비교,전화,보험료 비교,상품 비교,내 예산에 맞는 상품인지 보험료를 비교하기 어렵다.,5,있음,아니오
131,30대,가입 검토,웹,전문용어 이해,정보 이해,갱신형과 비갱신형 같은 전문용어를 쉽게 설명해 줬으면 좋겠다.,4,있음,아니오
132,50대 이상,정보 탐색,웹,상담 질문 준비,상담,내 상황에 맞는 상담 질문을 미리 준비하고 싶다.,2,있음,예
133,40대,상담,전화,보장 제외 조건,주의사항,기존 질환이 있으면 어떤 보장이 제외되는지 불안하다.,5,있음,예
134,50대 이상,가입 검토,오프라인,전문용어 이해,정보 이해,보험 용어가 너무 어려워서 무슨 뜻인지 모르겠다.,3,없음,예
135,30대,상담,웹,상품 보장 비교,상품 비교,어떤 상품의 보장 범위가 더 넓은지 모르겠다.,3,있음,예
136,30대,가입 검토,모바일,상담 질문 준비,상담,내 상황에 맞는 상담 질문을 미리 준비하고 싶다.,2,있음,아니오
137,40대,정보 탐색,오프라인,상담 정보 전달,상담,상담할 때 내가 궁금한 내용을 정리해서 전달하기 어렵다.,4,있음,예
138,20대,정보 탐색,오프라인,상품 보장 비교,상품 비교,상품별 보장 항목과 지급 조건을 나란히 보고 싶다.,3,없음,예
139,30대,상품 비교,전화,전문용어 이해,정보 이해,보험 용어가 너무 어려워서 무슨 뜻인지 모르겠다.,3,없음,예
140,20대,상품 비교,전화,상담 질문 준비,상담,상품을 고르기 전에 확인할 질문 목록이 필요하다.,2,있음,예
141,30대,상품 비교,모바일,상담 정보 전달,상담,상담사에게 내 보험 상황을 매번 처음부터 설명해야 한다.,2,없음,아니오
142,20대,가입 검토,모바일,상담 질문 준비,상담,내 상황에 맞는 상담 질문을 미리 준비하고 싶다.,2,없음,아니오
143,40대,상담,모바일,보험료 비교,상품 비교,월 납입액과 보장 수준을 함께 비교할 수 있으면 좋겠다.,5,없음,아니오
144,50대 이상,정보 탐색,웹,보험료 비교,상품 비교,내 예산에 맞는 상품인지 보험료를 비교하기 어렵다.,5,있음,아니오
145,20대,상담,전화,보장 제외 조건,주의사항,기존 질환이 있으면 어떤 보장이 제외되는지 불안하다.,5,없음,아니오
146,30대,정보 탐색,모바일,갱신 조건,주의사항,갱신 시 보험료가 얼마나 오를 수 있는지 명확히 알고 싶다.,3,없음,아니오
147,30대,가입 검토,모바일,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,5,있음,아니오
148,30대,정보 탐색,전화,보험료 비교,상품 비교,내 예산에 맞는 상품인지 보험료를 비교하기 어렵다.,5,없음,아니오
149,20대,가입 검토,전화,보험료 비교,상품 비교,월 납입액과 보장 수준을 함께 비교할 수 있으면 좋겠다.,4,없음,아니오
150,40대,가입 검토,오프라인,보험료 비교,상품 비교,내 예산에 맞는 상품인지 보험료를 비교하기 어렵다.,4,없음,예
151,20대,정보 탐색,웹,상담 질문 준비,상담,내 상황에 맞는 상담 질문을 미리 준비하고 싶다.,2,없음,아니오
152,30대,상담,전화,갱신 조건,주의사항,갱신 주기와 보험료 변동 조건을 찾기 어렵다.,3,있음,아니오
153,30대,상품 비교,모바일,상품 보장 비교,상품 비교,상품별 보장 항목과 지급 조건을 나란히 보고 싶다.,3,없음,아니오
154,30대,가입 검토,웹,상담 질문 준비,상담,내 상황에 맞는 상담 질문을 미리 준비하고 싶다.,4,없음,아니오
155,20대,가입 검토,오프라인,전문용어 이해,정보 이해,갱신형과 비갱신형 같은 전문용어를 쉽게 설명해 줬으면 좋겠다.,3,없음,예
156,30대,상품 비교,웹,보장 제외 조건,주의사항,보장되지 않는 조건이 설명서 뒤쪽에 있어 찾기 어렵다.,3,없음,아니오
157,30대,가입 검토,모바일,보험료 비교,상품 비교,월 납입액과 보장 수준을 함께 비교할 수 있으면 좋겠다.,5,없음,예
158,40대,정보 탐색,웹,보장 범위 이해,정보 이해,암 진단을 받으면 실제로 얼마를 받는지 모르겠다.,4,있음,아니오
159,30대,상품 비교,웹,보장 제외 조건,주의사항,보장되지 않는 조건이 설명서 뒤쪽에 있어 찾기 어렵다.,4,있음,예
160,40대,상담,웹,상품 보장 비교,상품 비교,상품별 보장 항목과 지급 조건을 나란히 보고 싶다.,3,없음,아니오
161,20대,상품 비교,모바일,상담 정보 전달,상담,상담사에게 내 보험 상황을 매번 처음부터 설명해야 한다.,2,있음,아니오
162,20대,상담,모바일,상품 보장 비교,상품 비교,상품별 보장 항목과 지급 조건을 나란히 보고 싶다.,5,없음,아니오
163,50대 이상,정보 탐색,모바일,전문용어 이해,정보 이해,갱신형과 비갱신형 같은 전문용어를 쉽게 설명해 줬으면 좋겠다.,3,있음,아니오
164,40대,상담,모바일,보장 제외 조건,주의사항,기존 질환이 있으면 어떤 보장이 제외되는지 불안하다.,3,있음,예
165,30대,가입 검토,모바일,상담 질문 준비,상담,상담 전에 무엇을 물어봐야 할지 모르겠다.,2,있음,아니오
166,30대,가입 검토,웹,보험료 비교,상품 비교,보험료만 봐서는 가격 차이가 왜 나는지 모르겠다.,4,없음,예
167,20대,상품 비교,전화,보험료 비교,상품 비교,월 납입액과 보장 수준을 함께 비교할 수 있으면 좋겠다.,4,없음,예
168,20대,상품 비교,웹,전문용어 이해,정보 이해,약관의 전문 표현을 일상적인 말로 바꿔서 보고 싶다.,3,없음,아니오
169,30대,상담,웹,보험료 비교,상품 비교,내 예산에 맞는 상품인지 보험료를 비교하기 어렵다.,5,있음,아니오
170,20대,상담,웹,보장 범위 이해,정보 이해,암 진단을 받으면 실제로 얼마를 받는지 모르겠다.,5,없음,아니오
171,20대,상담,모바일,보험료 비교,상품 비교,월 납입액과 보장 수준을 함께 비교할 수 있으면 좋겠다.,4,없음,예
172,30대,상담,웹,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,3,있음,예
173,30대,상품 비교,오프라인,상품 보장 비교,상품 비교,상품별 보장 항목과 지급 조건을 나란히 보고 싶다.,3,있음,예
174,20대,상품 비교,웹,보험료 비교,상품 비교,월 납입액과 보장 수준을 함께 비교할 수 있으면 좋겠다.,5,없음,아니오
175,20대,상담,전화,상품 보장 비교,상품 비교,어떤 상품의 보장 범위가 더 넓은지 모르겠다.,5,없음,아니오
176,20대,상담,모바일,전문용어 이해,정보 이해,약관의 전문 표현을 일상적인 말로 바꿔서 보고 싶다.,5,없음,아니오
177,40대,가입 검토,모바일,전문용어 이해,정보 이해,약관의 전문 표현을 일상적인 말로 바꿔서 보고 싶다.,5,있음,예
178,50대 이상,가입 검토,웹,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,4,없음,예
179,30대,가입 검토,모바일,보장 제외 조건,주의사항,기존 질환이 있으면 어떤 보장이 제외되는지 불안하다.,3,없음,아니오
180,30대,상품 비교,오프라인,상담 정보 전달,상담,상담사에게 내 보험 상황을 매번 처음부터 설명해야 한다.,2,있음,예
181,30대,정보 탐색,웹,보험료 비교,상품 비교,내 예산에 맞는 상품인지 보험료를 비교하기 어렵다.,3,있음,예
182,40대,상품 비교,웹,보장 범위 이해,정보 이해,이 상품이 어떤 상황을 보장하는지 한눈에 이해하기 어렵다.,4,있음,예
183,30대,상담,모바일,상담 정보 전달,상담,상담사에게 내 보험 상황을 매번 처음부터 설명해야 한다.,3,있음,예
184,50대 이상,상담,모바일,상품 보장 비교,상품 비교,상품별 보장 항목과 지급 조건을 나란히 보고 싶다.,4,있음,예
185,40대,상품 비교,전화,상담 질문 준비,상담,상담 전에 무엇을 물어봐야 할지 모르겠다.,4,있음,아니오
186,20대,정보 탐색,모바일,보장 제외 조건,주의사항,보장되지 않는 조건이 설명서 뒤쪽에 있어 찾기 어렵다.,4,있음,예
187,20대,상품 비교,전화,상담 질문 준비,상담,내 상황에 맞는 상담 질문을 미리 준비하고 싶다.,2,있음,예
188,30대,상담,오프라인,상품 보장 비교,상품 비교,상품별 보장 항목과 지급 조건을 나란히 보고 싶다.,3,없음,아니오
189,40대,가입 검토,전화,상담 정보 전달,상담,상담사에게 내 보험 상황을 매번 처음부터 설명해야 한다.,2,있음,아니오
190,20대,상담,모바일,갱신 조건,주의사항,갱신 시 보험료가 얼마나 오를 수 있는지 명확히 알고 싶다.,3,없음,아니오
191,20대,상담,모바일,보장 범위 이해,정보 이해,암 진단을 받으면 실제로 얼마를 받는지 모르겠다.,3,있음,예
192,30대,상담,모바일,전문용어 이해,정보 이해,갱신형과 비갱신형 같은 전문용어를 쉽게 설명해 줬으면 좋겠다.,5,없음,예
193,20대,정보 탐색,웹,갱신 조건,주의사항,갱신 시 보험료가 얼마나 오를 수 있는지 명확히 알고 싶다.,5,있음,예
194,20대,가입 검토,모바일,갱신 조건,주의사항,갱신 주기와 보험료 변동 조건을 찾기 어렵다.,5,없음,아니오
195,20대,상담,오프라인,상담 질문 준비,상담,내 상황에 맞는 상담 질문을 미리 준비하고 싶다.,4,없음,아니오
196,30대,정보 탐색,전화,상담 질문 준비,상담,상품을 고르기 전에 확인할 질문 목록이 필요하다.,3,없음,예
197,30대,상품 비교,전화,상품 보장 비교,상품 비교,어떤 상품의 보장 범위가 더 넓은지 모르겠다.,4,있음,예
198,20대,상담,모바일,상담 질문 준비,상담,상담 전에 무엇을 물어봐야 할지 모르겠다.,2,없음,예
199,20대,상담,오프라인,상품 보장 비교,상품 비교,어떤 상품의 보장 범위가 더 넓은지 모르겠다.,4,있음,예
200,20대,가입 검토,전화,갱신 조건,주의사항,갱신 시 보험료가 얼마나 오를 수 있는지 명확히 알고 싶다.,5,있음,아니오
201,30대,상담,웹,전문용어 이해,정보 이해,갱신형과 비갱신형 같은 전문용어를 쉽게 설명해 줬으면 좋겠다.,4,없음,아니오
202,30대,가입 검토,전화,갱신 조건,주의사항,갱신 주기와 보험료 변동 조건을 찾기 어렵다.,4,없음,아니오
203,40대,가입 검토,모바일,보장 제외 조건,주의사항,보장되지 않는 조건이 설명서 뒤쪽에 있어 찾기 어렵다.,4,있음,아니오
204,40대,상품 비교,웹,보험료 비교,상품 비교,월 납입액과 보장 수준을 함께 비교할 수 있으면 좋겠다.,4,없음,아니오
205,30대,정보 탐색,모바일,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,4,있음,예
